1:2026-03-22 12:13:04 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 665bac8f-3e5c-42c0-a60e-0fdb0e6e71b9: sub-trajectories not referenced by parent: {'agent-acompact-0497d074fba840aa', 'agent-acompact-b26e3a617acad709'}
19:2026-03-22 12:13:06 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 665bac8f-3e5c-42c0-a60e-0fdb0e6e71b9: sub-trajectories not referenced by parent: {'agent-acompact-0497d074fba840aa', 'agent-acompact-b26e3a617acad709'}
20:2026-03-22 12:13:06 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 665bac8f-3e5c-42c0-a60e-0fdb0e6e71b9: sub-trajectories not referenced by parent: {'agent-acompact-0497d074fba840aa', 'agent-acompact-b26e3a617acad709'}
21:2026-03-22 12:13:06 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 6d590f7e-b18e-438f-939f-421c18d3620f: sub-trajectories not referenced by parent: {'agent-acompact-44c0ec2045e51701'}
22:2026-03-22 12:13:06 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 6d590f7e-b18e-438f-939f-421c18d3620f: sub-trajectories not referenced by parent: {'agent-acompact-44c0ec2045e51701'}
23:2026-03-22 12:13:07 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session e3cab9fa-087f-4068-be79-8f3289428d4b: sub-trajectories not referenced by parent: {'agent-acompact-8f183743e0f6e139', 'agent-acompact-771f4a6f94c533d1', 'agent-acompact-4b082ae551c1d59b'}
24:2026-03-22 12:13:07 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 78466af8-109c-4933-bf2f-8aabb24c3133: sub-trajectories not referenced by parent: {'agent-acompact-0292d886be5c76cc'}
25:2026-03-22 12:13:07 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session d7a6dae4-2ddc-4185-91a3-c7a09c2ca785: sub-trajectories not referenced by parent: {'agent-a052f4aadef4dbe6c', 'agent-acompact-531aaa87562a33c8', 'agent-acompact-c115714454781317'}
26:2026-03-22 12:13:07 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session d7a6dae4-2ddc-4185-91a3-c7a09c2ca785: sub-trajectories not referenced by parent: {'agent-a052f4aadef4dbe6c', 'agent-acompact-531aaa87562a33c8', 'agent-acompact-c115714454781317'}
27:2026-03-22 12:13:07 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 2a22a609-9fcc-4a4e-a17d-c640ed5fae25: sub-trajectories not referenced by parent: {'agent-acompact-495b64095e40481b'}
28:2026-03-22 12:13:07 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 2a22a609-9fcc-4a4e-a17d-c640ed5fae25: sub-trajectories not referenced by parent: {'agent-acompact-495b64095e40481b'}
29:2026-03-22 12:13:07 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 2f892eb9-4dfb-443d-84e1-cfa8ca0bd8c5: sub-trajectories not referenced by parent: {'agent-acompact-34470777728a7ea2'}
30:2026-03-22 12:13:07 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 2f892eb9-4dfb-443d-84e1-cfa8ca0bd8c5: sub-trajectories not referenced by parent: {'agent-acompact-34470777728a7ea2'}
31:2026-03-22 12:13:07 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 9e555410-09d4-406e-9467-a6ac7e100f62: sub-trajectories not referenced by parent: {'agent-acompact-6d13446294ab9e34'}
32:2026-03-22 12:13:07 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 9e555410-09d4-406e-9467-a6ac7e100f62: sub-trajectories not referenced by parent: {'agent-acompact-6d13446294ab9e34'}
33:2026-03-22 12:13:07 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session cf18a8a0-dde7-42f4-b175-c5c8a16dc2bd: sub-trajectories not referenced by parent: {'agent-acompact-4af8291e7acacbf3', 'agent-ada1643b62e38a722', 'agent-acompact-c1b08ca6905a9af6'}
34:2026-03-22 12:13:07 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session cf18a8a0-dde7-42f4-b175-c5c8a16dc2bd: sub-trajectories not referenced by parent: {'agent-acompact-4af8291e7acacbf3', 'agent-ada1643b62e38a722', 'agent-acompact-c1b08ca6905a9af6'}
35:2026-03-22 12:13:07 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 64da7265-8f07-4967-b79f-0ae374c13330: sub-trajectories not referenced by parent: {'agent-acompact-d8d63b404fc1a00f'}
36:2026-03-22 12:13:08 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 64da7265-8f07-4967-b79f-0ae374c13330: sub-trajectories not referenced by parent: {'agent-acompact-d8d63b404fc1a00f'}
37:2026-03-22 12:13:08 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 6558106f-82f1-464c-bf4e-d99dcb466b0e: sub-trajectories not referenced by parent: {'agent-acompact-01ef2da6e306dfae'}
38:2026-03-22 12:13:08 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 6558106f-82f1-464c-bf4e-d99dcb466b0e: sub-trajectories not referenced by parent: {'agent-acompact-01ef2da6e306dfae'}
39:2026-03-22 12:13:08 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 3c77650d-0192-4ab1-bb96-c0e589d751e5: sub-trajectories not referenced by parent: {'agent-acompact-23d14434bb72339d'}
40:2026-03-22 12:13:08 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 48f6d2a0-9c27-4d59-8ced-611f26f11210: sub-trajectories not referenced by parent: {'agent-acompact-f15dbd323c32f277', 'agent-acompact-c872e498d023debe'}
41:2026-03-22 12:13:08 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 3c77650d-0192-4ab1-bb96-c0e589d751e5: sub-trajectories not referenced by parent: {'agent-acompact-23d14434bb72339d'}
42:2026-03-22 12:13:08 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 147f278a-76e5-4a79-979a-d01591dbbe26: sub-trajectories not referenced by parent: {'agent-acompact-93beb00f91803f4a'}
43:2026-03-22 12:13:08 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 147f278a-76e5-4a79-979a-d01591dbbe26: sub-trajectories not referenced by parent: {'agent-acompact-93beb00f91803f4a'}
44:2026-03-22 12:13:08 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session edeb8057-e9de-49e5-9ea9-5773cd22676f: sub-trajectories not referenced by parent: {'agent-acompact-d0dedcc3b42b6eed', 'agent-acompact-b8972c1407de6d10', 'agent-acompact-0ffd5e7f5d431ddf'}
45:2026-03-22 12:13:08 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 22a6e55a-32d4-44eb-9add-7f1c19ccebe4: sub-trajectories not referenced by parent: {'agent-acompact-a3e93d19fda25130', 'agent-acompact-1b591a4b6d7f055d', 'agent-acompact-ab1719479a42c43e'}
46:2026-03-22 12:13:08 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session edeb8057-e9de-49e5-9ea9-5773cd22676f: sub-trajectories not referenced by parent: {'agent-acompact-d0dedcc3b42b6eed', 'agent-acompact-b8972c1407de6d10', 'agent-acompact-0ffd5e7f5d431ddf'}
47:2026-03-22 12:13:09 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 8ca7b432-c70d-40ab-bad8-9bab0d6f429f: sub-trajectories not referenced by parent: {'agent-acompact-e6d550698e9017ec', 'agent-acompact-a5f8b2aff9d3d660'}
48:2026-03-22 12:13:09 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session d33425e7-0d4e-405f-ad3b-2cdf6c5e83fb: sub-trajectories not referenced by parent: {'agent-acompact-96eba5763e83f993'}
49:2026-03-22 12:13:09 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session d33425e7-0d4e-405f-ad3b-2cdf6c5e83fb: sub-trajectories not referenced by parent: {'agent-acompact-96eba5763e83f993'}
50:2026-03-22 12:13:09 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 497cf276-a167-4abb-99db-6d35123a4f35: sub-trajectories not referenced by parent: {'agent-acompact-15c55c7ce4d8b97b', 'agent-acompact-d761a1e07f86b5ba', 'agent-acompact-58c283bd492b99c5', 'agent-acompact-f75e7158740e6c34', 'agent-acompact-d56e0266b2cdd689', 'agent-acompact-85d9b940d7ae78f0', 'agent-acompact-e09cb1a2b74a9136'}
51:2026-03-22 12:13:09 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session b29f78c5-076a-4ecc-a186-2eee947e4c5f: sub-trajectories not referenced by parent: {'agent-acompact-960d116839f81a4d', 'agent-acompact-eaf6502dfa12e5a2'}
52:2026-03-22 12:13:10 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 9df1371d-7bd7-4f8e-bd23-dd0b554ef0a2: sub-trajectories not referenced by parent: {'agent-acompact-cf7997c5de6ecefd', 'agent-acompact-c43c3d9832d93ae8'}
53:[Omitted long matching line]
54:2026-03-22 12:13:10 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 5ca9e836-4de1-43fc-b3df-4ebf1d2c6e4c: sub-trajectories not referenced by parent: {'agent-acompact-b10259733104478a'}
55:2026-03-22 12:13:10 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 4acbb567-9100-4201-a046-3be7ef5adfcd: sub-trajectories not referenced by parent: {'agent-acompact-aabd9b97ebc290c9'}
56:2026-03-22 12:13:10 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 3fb566a3-49c0-4f39-b1be-1d831b29f62a: sub-trajectories not referenced by parent: {'agent-acompact-8a5dad4d32d83c00'}
57:[Omitted long matching line]
58:2026-03-22 12:13:10 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 7242e07c-0a18-4a25-bc6b-1c6398a4c192: sub-trajectories not referenced by parent: {'agent-acompact-2bf809d8e7278b56'}
59:2026-03-22 12:13:10 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 4acbb567-9100-4201-a046-3be7ef5adfcd: sub-trajectories not referenced by parent: {'agent-acompact-aabd9b97ebc290c9'}
60:2026-03-22 12:13:10 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session a0b5f8b3-d5ef-4104-a4f2-a7260876e58c: sub-trajectories not referenced by parent: {'agent-acompact-247ea4bf3d71e80a', 'agent-acompact-7d3140cc529a7e8c', 'agent-acompact-4aae73a30eea3cef'}
61:2026-03-22 12:13:11 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 3fb566a3-49c0-4f39-b1be-1d831b29f62a: sub-trajectories not referenced by parent: {'agent-acompact-8a5dad4d32d83c00'}
62:2026-03-22 12:13:11 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session a957af1f-2708-4073-b5a8-bdf820cd7fda: sub-trajectories not referenced by parent: {'agent-acompact-170957c4cd8aa57d'}
63:2026-03-22 12:13:11 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 7242e07c-0a18-4a25-bc6b-1c6398a4c192: sub-trajectories not referenced by parent: {'agent-acompact-2bf809d8e7278b56'}
64:2026-03-22 12:13:11 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 9aea9342-1063-42fc-974e-6a45eff71fdc: sub-trajectories not referenced by parent: {'agent-acompact-02c618aea659d304', 'agent-acompact-17c6d19f842c92a7', 'agent-acompact-7a1766019a3f6698', 'agent-acompact-b56d1e2a4baeb5bc'}
65:2026-03-22 12:13:11 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 9aea9342-1063-42fc-974e-6a45eff71fdc: sub-trajectories not referenced by parent: {'agent-acompact-02c618aea659d304', 'agent-acompact-17c6d19f842c92a7', 'agent-acompact-7a1766019a3f6698', 'agent-acompact-b56d1e2a4baeb5bc'}
66:2026-03-22 12:13:11 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session e3cab9fa-087f-4068-be79-8f3289428d4b: sub-trajectories not referenced by parent: {'agent-acompact-8f183743e0f6e139', 'agent-acompact-771f4a6f94c533d1', 'agent-acompact-4b082ae551c1d59b'}
67:2026-03-22 12:13:12 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 78466af8-109c-4933-bf2f-8aabb24c3133: sub-trajectories not referenced by parent: {'agent-acompact-0292d886be5c76cc'}
68:2026-03-22 12:13:12 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session e3cab9fa-087f-4068-be79-8f3289428d4b: sub-trajectories not referenced by parent: {'agent-acompact-8f183743e0f6e139', 'agent-acompact-771f4a6f94c533d1', 'agent-acompact-4b082ae551c1d59b'}
69:2026-03-22 12:13:12 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 78466af8-109c-4933-bf2f-8aabb24c3133: sub-trajectories not referenced by parent: {'agent-acompact-0292d886be5c76cc'}
70:[Omitted long matching line]
71:2026-03-22 12:13:12 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session bd881212-9137-4b23-b402-0186c7185ab0: sub-trajectories not referenced by parent: {'agent-acompact-3297ebc6d8c54bc5', 'agent-acompact-16679e6fb68f0976'}
72:2026-03-22 12:13:12 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session b3f230c6-113c-439a-8f67-3a33a9bba532: sub-trajectories not referenced by parent: {'agent-a2764623aa49816e7'}
73:2026-03-22 12:13:12 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 27c2c7a7-b925-4839-95bd-27d4511b79a5: sub-trajectories not referenced by parent: {'agent-acompact-a791eb7a7f610027', 'agent-acompact-fb6e9bf7f02ebc16'}
74:2026-03-22 12:13:12 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 48f6d2a0-9c27-4d59-8ced-611f26f11210: sub-trajectories not referenced by parent: {'agent-acompact-f15dbd323c32f277', 'agent-acompact-c872e498d023debe'}
75:2026-03-22 12:13:13 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 1cdccebc-b091-4105-876b-10e9a590f4b9: sub-trajectories not referenced by parent: {'agent-acompact-67f07bdb4d2b5367'}
76:2026-03-22 12:13:13 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 48f6d2a0-9c27-4d59-8ced-611f26f11210: sub-trajectories not referenced by parent: {'agent-acompact-f15dbd323c32f277', 'agent-acompact-c872e498d023debe'}
77:2026-03-22 12:13:13 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 22a6e55a-32d4-44eb-9add-7f1c19ccebe4: sub-trajectories not referenced by parent: {'agent-acompact-a3e93d19fda25130', 'agent-acompact-1b591a4b6d7f055d', 'agent-acompact-ab1719479a42c43e'}
78:2026-03-22 12:13:13 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 8ca7b432-c70d-40ab-bad8-9bab0d6f429f: sub-trajectories not referenced by parent: {'agent-acompact-e6d550698e9017ec', 'agent-acompact-a5f8b2aff9d3d660'}
79:2026-03-22 12:13:13 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 22a6e55a-32d4-44eb-9add-7f1c19ccebe4: sub-trajectories not referenced by parent: {'agent-acompact-a3e93d19fda25130', 'agent-acompact-1b591a4b6d7f055d', 'agent-acompact-ab1719479a42c43e'}
80:2026-03-22 12:13:14 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session bc5c8352-46a3-4255-bfb5-4e008e9302fb: sub-trajectories not referenced by parent: {'agent-acompact-f35ea51d81c2a965', 'agent-acompact-d3287cd895c58af5'}
81:2026-03-22 12:13:14 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 8ca7b432-c70d-40ab-bad8-9bab0d6f429f: sub-trajectories not referenced by parent: {'agent-acompact-e6d550698e9017ec', 'agent-acompact-a5f8b2aff9d3d660'}
82:2026-03-22 12:13:14 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 497cf276-a167-4abb-99db-6d35123a4f35: sub-trajectories not referenced by parent: {'agent-acompact-15c55c7ce4d8b97b', 'agent-acompact-d761a1e07f86b5ba', 'agent-acompact-58c283bd492b99c5', 'agent-acompact-f75e7158740e6c34', 'agent-acompact-d56e0266b2cdd689', 'agent-acompact-85d9b940d7ae78f0', 'agent-acompact-e09cb1a2b74a9136'}
83:2026-03-22 12:13:14 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 2084672a-c89e-43c4-9e14-dc77d362eca6: sub-trajectories not referenced by parent: {'agent-acompact-569a9cc8e7f9855a', 'agent-a881da7c0102d34ba'}
84:2026-03-22 12:13:14 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session b29f78c5-076a-4ecc-a186-2eee947e4c5f: sub-trajectories not referenced by parent: {'agent-acompact-960d116839f81a4d', 'agent-acompact-eaf6502dfa12e5a2'}
85:2026-03-22 12:13:14 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 497cf276-a167-4abb-99db-6d35123a4f35: sub-trajectories not referenced by parent: {'agent-acompact-15c55c7ce4d8b97b', 'agent-acompact-d761a1e07f86b5ba', 'agent-acompact-58c283bd492b99c5', 'agent-acompact-f75e7158740e6c34', 'agent-acompact-d56e0266b2cdd689', 'agent-acompact-85d9b940d7ae78f0', 'agent-acompact-e09cb1a2b74a9136'}
86:2026-03-22 12:13:15 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session b29f78c5-076a-4ecc-a186-2eee947e4c5f: sub-trajectories not referenced by parent: {'agent-acompact-960d116839f81a4d', 'agent-acompact-eaf6502dfa12e5a2'}
87:2026-03-22 12:13:15 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 9df1371d-7bd7-4f8e-bd23-dd0b554ef0a2: sub-trajectories not referenced by parent: {'agent-acompact-cf7997c5de6ecefd', 'agent-acompact-c43c3d9832d93ae8'}
88:2026-03-22 12:13:15 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session e6a0f862-8586-4835-a81c-94a630a1b7a1: sub-trajectories not referenced by parent: {'agent-acompact-2aa90bb0251b5a91'}
89:2026-03-22 12:13:15 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 8de1f9a7-720a-4033-8df2-7d20449abd88: sub-trajectories not referenced by parent: {'agent-acompact-e59aeb107fedd1e7'}
90:2026-03-22 12:13:15 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 9df1371d-7bd7-4f8e-bd23-dd0b554ef0a2: sub-trajectories not referenced by parent: {'agent-acompact-cf7997c5de6ecefd', 'agent-acompact-c43c3d9832d93ae8'}
91:2026-03-22 12:13:15 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 5ca9e836-4de1-43fc-b3df-4ebf1d2c6e4c: sub-trajectories not referenced by parent: {'agent-acompact-b10259733104478a'}
92:2026-03-22 12:13:15 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 1a0f9e68-7896-42f1-8c4d-43de60543cff: sub-trajectories not referenced by parent: {'agent-acompact-64bed55989066518'}
93:2026-03-22 12:13:15 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session a0b5f8b3-d5ef-4104-a4f2-a7260876e58c: sub-trajectories not referenced by parent: {'agent-acompact-247ea4bf3d71e80a', 'agent-acompact-7d3140cc529a7e8c', 'agent-acompact-4aae73a30eea3cef'}
94:2026-03-22 12:13:15 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 5ca9e836-4de1-43fc-b3df-4ebf1d2c6e4c: sub-trajectories not referenced by parent: {'agent-acompact-b10259733104478a'}
95:2026-03-22 12:13:16 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session a957af1f-2708-4073-b5a8-bdf820cd7fda: sub-trajectories not referenced by parent: {'agent-acompact-170957c4cd8aa57d'}
96:2026-03-22 12:13:16 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session a0b5f8b3-d5ef-4104-a4f2-a7260876e58c: sub-trajectories not referenced by parent: {'agent-acompact-247ea4bf3d71e80a', 'agent-acompact-7d3140cc529a7e8c', 'agent-acompact-4aae73a30eea3cef'}
97:2026-03-22 12:13:16 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 97c0891e-34fd-4556-ac50-c39e42949393: sub-trajectories not referenced by parent: {'agent-acompact-7bfe1975790823d1', 'agent-acompact-dc59797b1f583afd', 'agent-acompact-e607dcc9eb1d817a', 'agent-ad31835ffe31ad6b9', 'agent-acompact-81f7054ea95cd30b'}
98:2026-03-22 12:13:16 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 723a2284-cc87-4324-b618-a14a05e31c1f: sub-trajectories not referenced by parent: {'agent-acompact-9c05e41a5bd64b43'}
99:2026-03-22 12:13:16 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session a957af1f-2708-4073-b5a8-bdf820cd7fda: sub-trajectories not referenced by parent: {'agent-acompact-170957c4cd8aa57d'}
100:2026-03-22 12:13:16 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session befd0264-1979-49b0-94bf-5ad05c24819e: sub-trajectories not referenced by parent: {'agent-acompact-68d2d866709ad8c0'}
101:2026-03-22 12:13:17 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 92eade39-9d72-4d75-8522-71fa668f14ac: sub-trajectories not referenced by parent: {'agent-acompact-67ce83bab0e10a9a'}
102:[Omitted long matching line]
103:2026-03-22 12:13:17 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 2608f564-e5b2-459c-ac2a-15f6a41360e5: sub-trajectories not referenced by parent: {'agent-acompact-41688ff0d393b33f', 'agent-acompact-6aabd4f89a5d9a8c'}
104:[Omitted long matching line]
105:2026-03-22 12:13:17 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session bd881212-9137-4b23-b402-0186c7185ab0: sub-trajectories not referenced by parent: {'agent-acompact-3297ebc6d8c54bc5', 'agent-acompact-16679e6fb68f0976'}
106:2026-03-22 12:13:17 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session b3f230c6-113c-439a-8f67-3a33a9bba532: sub-trajectories not referenced by parent: {'agent-a2764623aa49816e7'}
107:2026-03-22 12:13:17 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session bd881212-9137-4b23-b402-0186c7185ab0: sub-trajectories not referenced by parent: {'agent-acompact-3297ebc6d8c54bc5', 'agent-acompact-16679e6fb68f0976'}
108:2026-03-22 12:13:17 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 27c2c7a7-b925-4839-95bd-27d4511b79a5: sub-trajectories not referenced by parent: {'agent-acompact-a791eb7a7f610027', 'agent-acompact-fb6e9bf7f02ebc16'}
109:2026-03-22 12:13:17 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 41308834-a399-4cf2-9e44-7c553d42c722: sub-trajectories not referenced by parent: {'agent-acompact-ac2a04dd2c7df1ca'}
110:2026-03-22 12:13:17 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session b3f230c6-113c-439a-8f67-3a33a9bba532: sub-trajectories not referenced by parent: {'agent-a2764623aa49816e7'}
111:2026-03-22 12:13:17 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session c9ab6581-b170-48a9-a796-2114e9b0bb95: sub-trajectories not referenced by parent: {'agent-acompact-3a8765dd36eb24d9'}
112:2026-03-22 12:13:17 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 27c2c7a7-b925-4839-95bd-27d4511b79a5: sub-trajectories not referenced by parent: {'agent-acompact-a791eb7a7f610027', 'agent-acompact-fb6e9bf7f02ebc16'}
113:2026-03-22 12:13:18 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 1cdccebc-b091-4105-876b-10e9a590f4b9: sub-trajectories not referenced by parent: {'agent-acompact-67f07bdb4d2b5367'}
